"from","to","weight"
"Aix-en-Provence","Tours Saint-Julien O.S.B.",29
"Aix-en-Provence","Tours Saint-Martin",15
"Aix-en-Provence","Tréguier",19
"Aix-en-Provence","Troarn Saint-Martin O.S.B.",16
"Aix-en-Provence","Troyes [1470 to 1507]",9
"Aix-en-Provence","Troyes [1536]",13
"Aix-en-Provence","Utrecht",66
"Aix-en-Provence","Uzès",83
"Aix-en-Provence","Valence",31
"Aix-en-Provence","Valence Saint-Ruf",53
"Aix-en-Provence","Valencia",78
"Aix-en-Provence","Valladolid",42
"Aix-en-Provence","Vendôme",23
"Aix-en-Provence","Verdun",33
"Aix-en-Provence","Vich",42
"Aix-en-Provence","Vienne",40
"Aix-en-Provence","Villeneuve-lès-Avignon Saint-André O.S.B.",38
"Aix-en-Provence","Villiers-aux-Nonnains Notre-Dame O.S.B.f",35
"Aix-en-Provence","Viviers",38
"Aix-en-Provence","Watten O.S.A.",16
"Aix-en-Provence","Westminster Saint Mary O.S.B.",47
"Aix-en-Provence","Winchester Saint Mary O.S.B.",9
"Aix-en-Provence","Worms",50
"Aix-en-Provence","Würtzburg",52
"Aix-en-Provence","York",18
"Amiens","Angers",66
"Amiens","Aniane O.S.B.",46
"Amiens","Antwerpen",67
"Amiens","Apt",27
"Amiens","Arles",47
"Amiens","Arras [1301 to 1400]",74
"Amiens","Arras [1401 to 1500]",52
"Amiens","Arras [1501 to 1600]",67
"Amiens","Arras [1595]",67
"Amiens","Arras Saint-Vaast O.S.B.",62
"Amiens","Auch",44
"Amiens","Autun",73
"Amiens","Auxerre",75
"Amiens","Avranches",64
"Amiens","Baltimore The Walters Art Museum W.0166",77
"Amiens","Baltimore The Walters Art Museum W.0169",78
"Amiens","Bayeux",65
"Amiens","Bazas",75
"Amiens","Beaugency",64
"Amiens","Beaulieu Notre Dame O.Cist",59
"Amiens","Beaune Notre-Dame",56
"Amiens","Beauvais",68
"Amiens","Besançon",47
"Amiens","Béziers",35
"Amiens","Bordeaux",52
"Amiens","Bourges",73
"Amiens","Bourgueil Saint-Pierre O.S.B.",28
"Amiens","Bremen",34
"Amiens","Brugge",59
"Amiens","Brugge Sint-Donaaskerk",62
"Amiens","Bruxelles Sainte-Gudule O.S.A.",77
"Amiens","Cambrai",68
"Amiens","Canterbury Saint-Augustin",17
"Amiens","Carcassonne",36
"Amiens","Cavaillon",40
"Amiens","Chaise-Dieu (La) O.S.B.",43
"Amiens","Chalon-sur-Saône",58
"Amiens","Châlons-en-Champagne",77
"Amiens","Chartres",58
"Amiens","Chartres Saint-Père-en-Vallée O.S.B. [1301 to 1500]",25
"Amiens","Chartres Saint-Père-en-Vallée O.S.B. [1401 to 1500]",21
"Amiens","Chezal-Benoît O.S.B.",52
"Amiens","Clermont",40
"Amiens","Cluny O.S.B.",67
"Amiens","Compiègne Saint-Corneille O.S.B.",57
"Amiens","Coutances",64
"Amiens","Dax",59
"Amiens","Die",41
"Amiens","Dijon Saint-Bénigne O.S.B.",17
"Amiens","Dijon Saint-Etienne",50
"Amiens","Dol",64
"Amiens","Douai Saint-Amé",73
"Amiens","Durham Saint Cuthbert O.S.B.",29
"Amiens","Elne",60
"Amiens","Embrun",34
"Amiens","Essômes O.S.A.",67
"Amiens","Esztergom",36
"Amiens","Évreux",72
"Amiens","Évreux Saint-Sauveur O.S.B.",24
"Amiens","Faremoutiers Notre-Dame O.S.B.",26
"Amiens","Fontevrault Notre-Dame O.S.B.",44
"Amiens","Fréjus",20
"Amiens","Genève",59
"Amiens","Gerona",50
"Amiens","Grandmont O.S.B.",38
"Amiens","Grasse",36
"Amiens","Grenoble",48
"Amiens","Hasnon",47
"Amiens","Hénin-Liétard Notre-Dame O.S.A.",81
"Amiens","Hortulus animae",33
"Amiens","Josaphat Notre-Dame O.S.B.",48
"Amiens","Köln",32
