"from","to","Weight"
"Rennes_S.1893","Crowland_BL230","9"
"Rennes_S.1893","Sarum_EDINB13","9"
"Rennes_S.1893","Coutances_BN786D","9"
"Rennes_S.1893","Lisieux_GEN113","9"
"Rennes_S.1893","Rouen_ROUEN326","9"
"Rennes_S.1893","_S.1935-5","9"
"Rennes_S.1893","Brigittine (Syon)_OXF4","9"
"Rennes_S.1893","Aberdeen_ABERDSN","9"
"Rennes_S.1893","Rouen_BN10549","9"
"Rennes_S.1893","St. Maur Verdun_EPIN235","9"
"Oxford_VAT4757","Rouen_BN4600","9"
"Oxford_VAT4757","_HAAG68","9"
"Oxford_VAT4757","St. Arnulf_METZ333","9"
"Oxford_VAT4757","Lisieux_CAEN17","9"
"Oxford_VAT4757","Coutances_S.1953-2","9"
"Oxford_VAT4757","The Hague_HAAG73B","9"
"Oxford_VAT4757","Hospitallers_BN1400","9"
"Oxford_VAT4757","Hours of Marie de Bohun_CPHT547","9"
"Oxford_VAT4757","Montieramey_BN1063","9"
"Oxford_VAT4757","Seez_BN1272","9"
"Oxford_VAT4757","St. Lo-de-Rouen_GEN1265","9"
"Oxford_VAT4757","St. Jacut-de-la-Mer_BN3081","9"
"Oxford_VAT4757","St. Sauveur Toul_BN17998","9"
"Oxford_VAT4757","St. Lo-de-Coutances_GEN2722","9"
"Oxford_VAT4757","Dol_OXF26","9"
"Oxford_VAT4757","Aversa_VAT12","9"
"Oxford_VAT4757","Vannes_GEN225","9"
"Oxford_VAT4757","Crowland_BL230","9"
"Oxford_VAT4757","Sarum_EDINB13","9"
"Oxford_VAT4757","Coutances_BN786D","9"
"Oxford_VAT4757","Lisieux_GEN113","9"
"Oxford_VAT4757","Rouen_ROUEN326","9"
"Oxford_VAT4757","_S.1935-5","9"
"Oxford_VAT4757","Brigittine (Syon)_OXF4","9"
"Oxford_VAT4757","Aberdeen_ABERDSN","9"
"Oxford_VAT4757","Rouen_BN10549","9"
"Oxford_VAT4757","St. Maur Verdun_EPIN235","9"
"Rouen_BN4600","_HAAG68","9"
"Rouen_BN4600","St. Arnulf_METZ333","9"
"Rouen_BN4600","Lisieux_CAEN17","9"
"Rouen_BN4600","Coutances_S.1953-2","9"
"Rouen_BN4600","The Hague_HAAG73B","9"
"Rouen_BN4600","Hospitallers_BN1400","9"
"Rouen_BN4600","Hours of Marie de Bohun_CPHT547","9"
"Rouen_BN4600","Montieramey_BN1063","9"
"Rouen_BN4600","Seez_BN1272","9"
"Rouen_BN4600","St. Lo-de-Rouen_GEN1265","9"
"Rouen_BN4600","St. Jacut-de-la-Mer_BN3081","9"
"Rouen_BN4600","St. Sauveur Toul_BN17998","9"
