"","Work.RecordTitle","n"
"202","Ecce concipies et paries filium et vocabis nomen ejus Jesum hic erit magnus et filius altissimi voca | Cantus ID 002499 | Luke 1:31 | Antiphon | h411",1
"203","Ecce Maria genuit nobis salvatorem quem Joannes videns exclamavit dicens ecce agnus dei ecce qui tol | Cantus ID 002523 | John 1:29 | Antiphon | h414",48
"204","Ecce nunc benedicite Dominum, omnes servi Domini :qui statis in domo Domini,in atriis domus Dei nost | HORAE | Psalm 133 | Psalm | h415",56
"205","Ecce quam bonum et quam jucundum,habitare fratres in unum ! Sicut unguentum in capite,quod descendit | HORAE | Psalm 132 | Psalm | h416",46
"206","Ecce tu pulchra es amica mea | HORAE | Song of songs 1:14 | Short lesson | h417",5
"207","Ecce tu pulchra es amica mea ecce tu pulchra oculi tui columbarum | Cantus ID 002547 | Song of songs 1:14 | Antiphon | h418",30
"208","Ecce tu pulcra es | HORAE | Song of songs 1:14 | Lesson | h419",1
"209","Ecce virgo concipiet et pariet filium dicit dominus et vocabitur nomen ejus admirabilis deus fortis | Cantus ID 006620 | Isaiah 7:14 - Mt 1:23 | Respond | h420",1
"210","Ecce virgo concipiet et pariet filium et vocabitur nomen eius Emmanuel. Butyrum et mel comedet, ut s | HORAE | Isaiah 7:14-15 | Short lesson | h421",25
"211","Ecce virgo concipiet et pariet filium et vocabitur nomen ejus Emmanuel | Cantus ID 002557 | Matthew 1:23 | Antiphon | h422",1
"212","Ecclesia de suis | HORAE | | Lesson | h423",1
"213","Ecclesiam tuam, domine, benignus illustra, ut, beati Iohannis evangelistae illuminata doctrinis, ad | Corpus Orationum 2416c | | Oration | h424",8
"214","Ego diligentes me diligo, et qui mane vigilant ad me, invenient me | HORAE | Proverbs 8:17 | Short lesson | h427",1
